City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
392,soio,-6.1349,12.3689,22.99,78,49,4.75,AO,2024-08-25 15:37:38
393,arpacay,40.8487,43.3291,15.14,75,82,4.66,TR,2024-08-25 15:37:38
394,praia,14.9215,-23.5087,30.3,54,75,10.8,CV,2024-08-25 15:37:38
395,iskenderun,36.5872,36.1735,32.46,82,1,2.62,TR,2024-08-25 15:37:38
396,puerto baquerizo moreno,-0.9,-89.6,21.55,78,40,7.2,EC,2024-08-25 15:37:38
397,tenenkou,14.4572,-4.9169,32.01,51,38,4.84,ML,2024-08-25 15:37:39
398,sompeta,18.9333,84.6,27.95,78,100,2.71,IN,2024-08-25 15:37:39
399,nsanje,-16.92,35.262,25.45,39,7,2.54,MW,2024-08-25 15:37:39
400,zambezi,-13.5432,23.1047,28.27,14,31,2.34,ZM,2024-08-25 15:37:39
401,gorontalo,0.5412,123.0595,23.4,98,43,0.81,ID,2024-08-25 15:37:39
402,sisimiut,66.9395,-53.6735,6.09,70,92,3.83,GL,2024-08-25 15:37:39
403,greymouth,-42.4667,171.2,11.0,96,100,1.4,NZ,2024-08-25 15:37:39
404,cleator moor,54.5214,-3.5159,13.86,89,100,6.26,GB,2024-08-25 15:37:39
405,samana,19.2056,-69.3369,31.12,74,40,2.06,DO,2024-08-25 15:37:40
406,klaksvik,62.2266,-6.589,10.13,79,97,5.02,FO,2024-08-25 15:37:40
407,tangalle,6.024,80.7911,26.09,88,60,3.89,LK,2024-08-25 15:37:40
408,ushibukamachi,32.1906,130.0228,27.09,82,35,1.66,JP,2024-08-25 15:37:40
409,fisterra,42.9049,-9.2629,19.25,66,5,11.55,ES,2024-08-25 15:37:40
410,karlovo,42.6333,24.8,31.29,25,13,3.38,BG,2024-08-25 15:37:40
411,rodolfo sanchez taboada,31.7167,-116.5667,19.5,64,0,0.89,MX,2024-08-25 15:37:40
412,ponta delgada,37.7333,-25.6667,26.4,53,20,3.09,PT,2024-08-25 15:37:40
413,north branch,45.5113,-92.9802,26.43,87,95,0.89,US,2024-08-25 15:37:40
414,x-can,20.8593,-87.6697,29.09,72,89,1.82,MX,2024-08-25 15:37:41
415,suoyarvi,62.0833,32.35,19.06,56,1,4.95,RU,2024-08-25 15:37:41
416,sandusky,41.3501,-83.1332,29.41,66,38,0.45,US,2024-08-25 15:37:41
417,puerto madero,14.7208,-92.4215,29.11,79,75,0.0,MX,2024-08-25 15:37:41
418,idanre,7.1127,5.1159,23.4,92,100,1.26,NG,2024-08-25 15:37:41
419,reggane,26.7158,0.1714,44.67,9,5,5.26,DZ,2024-08-25 15:37:41
420,bonthe,7.5264,-12.505,26.37,81,100,6.04,SL,2024-08-25 15:37:41
421,funafuti,-8.5243,179.1942,27.0,94,20,1.03,TV,2024-08-25 15:37:41
422,lautoka,-17.6167,177.4667,20.92,83,100,5.14,FJ,2024-08-25 15:37:41
423,onguday,50.75,86.15,9.91,82,25,1.75,RU,2024-08-25 15:37:42
424,suwayr,30.1171,40.3893,38.82,15,0,3.68,SA,2024-08-25 15:37:42
425,laojunmiao,39.8333,97.7333,18.03,69,5,5.17,CN,2024-08-25 15:37:42
426,marsh harbour,26.5412,-77.0636,29.25,72,26,5.67,BS,2024-08-25 15:37:42
427,ilembula,-8.9,34.5833,20.09,31,18,4.9,TZ,2024-08-25 15:37:42
428,flying fish cove,-10.4217,105.6791,24.82,88,100,5.66,CX,2024-08-25 15:37:42
429,mailsi,29.8003,72.1758,35.79,37,20,4.79,PK,2024-08-25 15:37:42
430,shenjiamen,29.9576,122.298,27.31,89,3,4.66,CN,2024-08-25 15:37:42
431,gangtok,27.3333,88.6167,21.8,96,92,0.95,IN,2024-08-25 15:35:50
432,yacimiento rio turbio,-51.5732,-72.3508,0.66,87,75,1.03,AR,2024-08-25 15:37:43
433,praya,14.9215,-23.5087,30.3,54,75,10.8,CV,2024-08-25 15:37:38
434,ouadda,8.0777,22.4007,23.69,90,77,1.57,CF,2024-08-25 15:37:43
435,knyaze-volkonskoye,48.4642,135.4567,18.19,95,99,3.02,RU,2024-08-25 15:37:43
